2026-05-26 16:49:33,283 | numexpr.utils | INFO | NumExpr defaulting to 16 threads.
2026-05-26 16:49:33,539 | root | WARNING | Argument de tipus no vàlid o no proporcionat: None
2026-05-26 16:49:33,564 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-26 16:49:35,786 | root | INFO | Entrada seleccionada: 1
2026-05-26 16:49:37,372 | root | INFO | Usuari seleccionat: 20
2026-05-26 16:49:37,372 | root | INFO | Recomanació inicialitzada
2026-05-26 16:49:37,372 | root | INFO | Recomanacio simple seleccionada per l'usuari: 20
2026-05-26 16:49:37,380 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,381 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,381 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,381 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,381 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,382 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,382 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,382 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,382 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,382 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,382 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,382 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,382 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,382 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,382 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,382 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,383 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,383 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,383 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,383 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,383 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,383 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,383 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,383 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,383 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,383 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,383 | root | INFO | Similituds trobades per a recomanació simple
