2026-05-26 17:12:16,411 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-26 17:12:19,586 | root | INFO | Entrada seleccionada: 1
2026-05-26 17:12:22,153 | root | INFO | Usuari seleccionat: 20
2026-05-26 17:12:22,153 | root | INFO | Recomanació inicialitzada
2026-05-26 17:12:22,153 | root | INFO | Recomanacio simple seleccionada per l'usuari: 20
2026-05-26 17:12:22,251 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 17:12:22,801 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 17:12:22,801 | root | INFO | Recomanacio calculada per a l'usuari: 20
2026-05-26 17:12:22,802 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 17:12:22,802 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-26 17:12:22,802 | root | INFO | Recomanació visualitzada per a l'usuari 20
2026-05-26 17:12:32,023 | root | INFO | Usuari seleccionat: 20
2026-05-26 17:12:33,122 | root | INFO | Avaluació inicialitzada per a l'usuari: 20 amb el recomanador: RecomanacioSimple
2026-05-26 17:12:33,122 | root | INFO | Resultat de MAE: 0, calculat per a l'usuari 20
