2026-05-31 11:53:38,943 | root | INFO | Inicialització del gestionador per al tipus de contingut: BOOKS
2026-05-31 11:53:39,865 | root | INFO | Dades importades des de Ratings.csv. Nombre d'usuaris: 105283, Nombre de continguts: 10000
2026-05-31 11:53:39,866 | root | INFO | Diccionaris i matriu de dades creada correctament amb forma: (105283, 10000)
2026-05-31 11:53:40,462 | root | INFO | Dades de contingut importades des de Books.csv. Nombre de continguts: 8627
2026-05-31 11:53:40,463 | root | INFO | Diccionari de contingut creat correctament
2026-05-31 11:53:40,463 | root | INFO | Gestionador inicialitzat amb Books
2026-05-31 11:53:45,225 | root | INFO | Gestionador guardat a pickle: gestionador_books.pkl
2026-05-31 11:53:48,945 | root | INFO | Entrada seleccionada: 1
2026-05-31 11:53:51,063 | root | INFO | Usuari seleccionat: 2
2026-05-31 11:53:51,064 | root | INFO | Recomanació inicialitzada
2026-05-31 11:53:51,064 | root | INFO | Recomanacio simple seleccionada per l'usuari: 2
2026-05-31 11:54:00,312 | root | INFO | Similituds trobades per a recomanació simple
2026-05-31 11:54:00,320 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-31 11:54:00,320 | root | INFO | Recomanacio calculada per a l'usuari: 2
2026-05-31 11:54:00,321 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-31 11:54:00,321 | root | INFO | Visualitzant recomanació per a BOOKS
2026-05-31 11:54:00,324 | root | INFO | Recomanació visualitzada per a l'usuari 2
