2026-05-26 21:22:44,259 | root | INFO | Afegint: '0195153448'
2026-05-26 21:22:44,259 | root | INFO | Afegint: '0002005018'
2026-05-26 21:22:44,259 | root | INFO | Afegint: '0060973129'
2026-05-26 21:22:44,260 | root | INFO | Afegint: '0374157065'
2026-05-26 21:22:44,260 | root | INFO | Afegint: '0393045218'
2026-05-26 21:22:44,260 | root | INFO | Afegint: '0399135782'
2026-05-26 21:22:44,260 | root | INFO | Afegint: '0425176428'
2026-05-26 21:22:44,260 | root | INFO | Afegint: '0671870432'
2026-05-26 21:22:44,260 | root | INFO | Afegint: '0679425608'
2026-05-26 21:22:44,260 | root | INFO | Afegint: '074322678X'
2026-05-26 21:22:44,260 | root | INFO | Afegint: '0771074670'
2026-05-26 21:22:44,261 | root | INFO | Afegint: '080652121X'
2026-05-26 21:22:44,261 | root | INFO | Afegint: '0887841740'
2026-05-26 21:22:44,261 | root | INFO | Afegint: '1552041778'
2026-05-26 21:22:44,261 | root | INFO | Afegint: '1558746218'
2026-05-26 21:22:44,261 | root | INFO | Afegint: '1567407781'
2026-05-26 21:22:44,261 | root | INFO | Afegint: '1575663937'
2026-05-26 21:22:44,261 | root | INFO | Afegint: '1881320189'
2026-05-26 21:22:44,261 | root | INFO | Afegint: '0440234743'
2026-05-26 21:22:44,261 | root | INFO | Afegint: '0452264464'
2026-05-26 21:22:44,261 | root | INFO | Afegint: '0609804618'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '1841721522'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '1879384493'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '0061076031'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '0439095026'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '0689821166'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '0971880107'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '0345402871'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '0345417623'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '0684823802'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '0375759778'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '0425163091'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '3404921038'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '3442353866'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '3442410665'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '3442446937'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '0375406328'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '0446310786'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '0449005615'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '0060168013'
2026-05-26 21:22:44,262 | root | INFO | Afegint: '038078243X'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '055321215X'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '067176537X'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0061099686'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0553582909'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0671888587'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0553582747'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0425182908'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '042518630X'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0440223571'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0812523873'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0842342702'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0440225701'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0060914068'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0156047624'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0245542957'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0380715899'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0553280333'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0961769947'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0964778319'
2026-05-26 21:22:44,263 | root | INFO | Afegint: '0671623249'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '0679810307'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '0679865691'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '2070423204'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '0345260317'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '0394743741'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '042511774X'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '0804106304'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '1853262404'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '0312970242'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '1853260053'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '1414035004'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '0060938412'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '0140067477'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '0345465083'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '0451625889'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '1558531025'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '0441783589'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '0394895894'
2026-05-26 21:22:44,264 | root | INFO | Afegint: '1569871213'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0375410538'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0966986105'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '087113375X'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0340767936'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0743403843'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0060930365'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0060177586'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0071416331'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0375509038'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0553062042'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0316769487'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '8445071408'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '8445071769'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '8445071777'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0679429220'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0671867156'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0312252617'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0312261594'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0316748641'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0316973742'
2026-05-26 21:22:44,265 | root | INFO | Afegint: '0385235941'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0446677450'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0451166892'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0553347594'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0671621009'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '067976397X'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0684822733'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0786868716'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '8472238822'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0671864769'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0671521519'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0440222303'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0312953453'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0446608653'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0446612545'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0446612618'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0451208080'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0553584383'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0671027360'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0812575954'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0316735736'
2026-05-26 21:22:44,266 | root | INFO | Afegint: '0743439740'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0345372700'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0380619458'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0446325805'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0451406923'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0671042858'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0743249992'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0840734530'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0425184226'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0375500766'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '9724119378'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0451205197'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0060929790'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0060976845'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0061099325'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0671004573'
2026-05-26 21:22:44,267 | root | INFO | Afegint: '0446601640'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '0330484516'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '038572179X'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '0393020371'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '1900850303'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '1903019699'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '0345425294'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '0451410319'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '0553583468'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '8420639133'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '8476409419'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '0380778556'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '0451525221'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '0002740230'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '0385336772'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '0440949424'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '0505524996'
2026-05-26 21:22:44,268 | root | INFO | Afegint: '0140252800'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0451452755'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0812575482'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '044651747X'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0060801263'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0061030147'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0140250964'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0446527165'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0671461494'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0385337639'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '039575514X'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0451206673'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0330332775'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0486284735'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0671021745'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0671047612'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0671504282'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0399138684'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0785263292'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0830714014'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0345354931'
2026-05-26 21:22:44,269 | root | INFO | Afegint: '0553278223'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3150000335'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3257203659'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3257207522'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3257208626'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3257208634'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3257208669'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3257210450'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3257212054'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3257212429'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3257214154'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3257216416'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3257233051'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '342311360X'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3423116714'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3423241489'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3426605686'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3453212150'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3462021095'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3492045642'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3498020862'
2026-05-26 21:22:44,270 | root | INFO | Afegint: '3499110695'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '3499151502'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '3518111000'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '3548254268'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '3570300099'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '3596292646'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '0060977493'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '0312872682'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '0316602906'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '0316693006'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '0345311396'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '0345378490'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '0345404793'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '0345433173'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '0375400117'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '0375705856'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '0380717018'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '0380718332'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '0380754509'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '038076654X'
2026-05-26 21:22:44,271 | root | INFO | Afegint: '0380807866'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0385316895'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0385497466'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0385508042'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0385509456'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0385511612'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0385730586'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0425164403'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0440234964'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0446605484'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0446610399'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0449006522'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0449911004'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0451162072'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0451186648'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0452282152'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '051513290X'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0553580388'
2026-05-26 21:22:44,272 | root | INFO | Afegint: '0590598848'
